symbol,window,validation_start,training_start,training_end,selection_status,selection_reason,selected_profile_id,candidate_profile_id,selected,strategy_params,eligible,total_return_pct,max_drawdown_pct,total_trades,average_capital_utilization_pct
006208.TW,7,2021-02-26,2019-01-22,2021-02-25,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,15.34,4.08,9.0,18.72
006208.TW,8,2022-03-01,2020-02-05,2022-02-25,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,5.76,3.03,9.0,9.69
006208.TW,8,2022-03-01,2020-02-05,2022-02-25,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,9.91,5.64,9.0,15.9
006208.TW,9,2023-03-01,2021-01-26,2023-02-24,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.07,2.68,7.0,4.17
006208.TW,9,2023-03-01,2021-01-26,2023-02-24,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-1.92,4.7,7.0,7.34
006208.TW,10,2024-02-26,2022-01-19,2024-02-23,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,0.23,1.63,8.0,5.05
006208.TW,10,2024-02-26,2022-01-19,2024-02-23,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,0.37,2.85,8.0,8.87
006208.TW,11,2025-02-26,2023-01-13,2025-02-25,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,3.3,3.55,12.0,10.48
006208.TW,11,2025-02-26,2023-01-13,2025-02-25,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,6.46,5.39,12.0,18.24
2317.TW,1,2015-01-05,,,fallback,insufficient_pre_validation_training_data,legacy,,True,,,,,,
2317.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-2.56,3.56,4.0,3.68
2317.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-4.5,6.21,4.0,6.55
2317.TW,3,2017-01-05,2014-12-08,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-3.19,4.51,7.0,5.43
2317.TW,3,2017-01-05,2014-12-08,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-5.56,7.82,7.0,9.58
2317.TW,4,2018-01-05,2015-12-08,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,2.96,4.87,7.0,11.74
2317.TW,4,2018-01-05,2015-12-08,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,6.24,5.21,7.0,18.48
2317.TW,5,2019-01-07,2016-12-06,2019-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,3.29,4.85,4.0,8.46
2317.TW,5,2019-01-07,2016-12-06,2019-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,6.86,5.24,4.0,12.78
2317.TW,6,2020-01-06,2017-11-30,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-0.5,2.1,3.0,1.81
2317.TW,6,2020-01-06,2017-11-30,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-0.95,3.69,3.0,3.14
2317.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,2.67,2.32,5.0,3.17
2317.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,4.63,4.0,5.0,5.53
2317.TW,8,2022-01-05,2019-12-11,2022-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,4.72,3.69,5.0,4.6
2317.TW,8,2022-01-05,2019-12-11,2022-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,8.65,5.85,5.0,7.48
2317.TW,9,2023-01-05,2020-12-14,2023-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,4.57,3.57,5.0,4.95
2317.TW,9,2023-01-05,2020-12-14,2023-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,8.31,5.69,5.0,8.11
2317.TW,10,2024-01-05,2021-12-09,2024-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.57,2.87,6.0,3.66
2317.TW,10,2024-01-05,2021-12-09,2024-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-2.67,4.93,6.0,6.39
2317.TW,11,2025-01-06,2022-12-02,2025-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,13.81,14.54,7.0,12.17
2317.TW,11,2025-01-06,2022-12-02,2025-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,16.33,14.51,7.0,16.09
2317.TW,12,2026-01-05,2023-12-04,2026-01-02,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,19.81,14.5,7.0,13.86
2317.TW,12,2026-01-05,2023-12-04,2026-01-02,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,26.24,14.53,7.0,18.59
2454.TW,1,2015-01-05,,,fallback,insufficient_pre_validation_training_data,legacy,,True,,,,,,
2454.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.18,1.47,2.0,1.49
2454.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-2.23,2.74,2.0,2.64
2454.TW,3,2017-01-05,2014-12-08,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.47,1.89,3.0,1.59
2454.TW,3,2017-01-05,2014-12-08,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-2.6,3.3,3.0,2.82
2454.TW,4,2018-01-05,2015-12-08,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,2.56,3.53,5.0,4.94
2454.TW,4,2018-01-05,2015-12-08,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,5.48,5.18,5.0,8.09
2454.TW,5,2019-01-07,2016-12-14,2019-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-0.44,5.9,5.0,5.61
2454.TW,5,2019-01-07,2016-12-14,2019-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,1.54,8.59,5.0,9.24
2454.TW,6,2020-01-06,2017-12-08,2020-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-0.7,6.55,7.0,14.21
2454.TW,6,2020-01-06,2017-12-08,2020-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,0.46,9.95,7.0,19.11
2454.TW,7,2021-01-05,2018-12-06,2021-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,39.75,16.6,9.0,25.76
2454.TW,7,2021-01-05,2018-12-06,2021-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,46.42,17.09,9.0,30.77
2454.TW,8,2022-01-05,2019-12-11,2022-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,34.71,18.74,8.0,21.68
2454.TW,8,2022-01-05,2019-12-11,2022-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,42.92,18.0,8.0,26.02
2454.TW,9,2023-01-05,2020-12-14,2023-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-8.16,16.89,5.0,10.03
2454.TW,9,2023-01-05,2020-12-14,2023-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-3.85,15.95,5.0,12.52
2454.TW,10,2024-01-05,2021-12-09,2024-01-04,selected,highest_positive_training_return_within_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,14.88,8.55,7.0,15.36
2454.TW,10,2024-01-05,2021-12-09,2024-01-04,selected,highest_positive_training_return_within_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,12.48,11.61,7.0,17.75
2454.TW,11,2025-01-06,2022-12-02,2025-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,15.43,9.98,9.0,18.26
2454.TW,11,2025-01-06,2022-12-02,2025-01-03,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,15.44,9.77,9.0,23.08
2454.TW,12,2026-01-05,2023-12-05,2026-01-02,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-7.02,10.38,8.0,10.23
2454.TW,12,2026-01-05,2023-12-05,2026-01-02,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-8.76,13.41,8.0,14.79
2308.TW,1,2015-01-05,,,fallback,insufficient_pre_validation_training_data,legacy,,True,,,,,,
2308.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-3.52,4.56,3.0,1.94
2308.TW,2,2016-01-05,2014-01-02,2016-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-5.67,7.47,3.0,3.43
2308.TW,3,2017-01-05,2014-12-09,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-0.49,2.63,3.0,2.17
2308.TW,3,2017-01-05,2014-12-09,2017-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-0.95,4.56,3.0,3.7
2308.TW,4,2018-01-05,2015-12-09,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,1.88,0.94,2.0,2.34
2308.TW,4,2018-01-05,2015-12-09,2018-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,balanced,True,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",True,3.41,1.65,2.0,4.15
2308.TW,5,2019-01-07,2016-12-14,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-2.29,3.27,3.0,1.72
2308.TW,5,2019-01-07,2016-12-14,2019-01-04,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-3.99,5.64,3.0,2.98
2308.TW,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,legacy,True,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",False,-1.09,2.43,5.0,3.5
2308.TW,6,2020-01-06,2017-12-08,2020-01-03,fallback,no_profile_passed_training_risk_guardrails,legacy,balanced,False,"{'stage1_ratio': 0.35, 'stage2_ratio': 0.65, 'stage3_ratio': 1.0}",False,-1.97,4.31,5.0,6.17
2308.TW,7,2021-01-05,2018-12-06,2021-01-04,selected,highest_positive_training_return_within_risk_guardrails,balanced,legacy,False,"{'stage1_ratio': 0.2, 'stage2_ratio': 0.5, 'stage3_ratio': 1.0}",True,14.19,2.64,6.0,7.9
