category,total_symbols,usable_symbols,passed_symbols
cement,1,0,0
consumer_staples,1,0,0
electronic_components,1,0,0
electronics_manufacturing,1,0,0
equity_etf_high_dividend,1,0,0
equity_etf_market_cap,1,0,0
financial_holding,2,0,0
plastics,1,0,0
retail,1,0,0
rubber,1,0,0
semiconductor,1,0,0
steel,1,0,0
telecommunications,1,0,0
