status,symbol,row_count,start_date,end_date,duplicate_dates,missing_by_column,invalid_price_rows,zero_volume_rows,zero_volume_dates,missing_reference_date_count,missing_reference_dates,non_monotonic_dates,large_return_rows_25pct,max_abs_daily_return_pct,max_calendar_gap_days,price_adjustment_contract,zero_volume_rows_removed_before_evaluation,zero_volume_dates_removed_before_evaluation
quality_warning,0056.TW,3056,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],2,"['2014-07-23', '2016-07-08']",False,0,9.9801,13,yfinance auto_adjust=True; actions=False; repair=False,13,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-01-30', '2016-06-04', '2016-07-08', '2016-09-10', '2016-09-27', '2016-09-28', '2017-02-18', '2017-06-03', '2024-01-15', '2026-07-10']"
quality_warning,006208.TW,2837,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],221,"['2014-02-18', '2014-02-19', '2014-03-03', '2014-03-14', '2014-03-18', '2014-04-29', '2014-05-05', '2014-05-13', '2014-06-03', '2014-06-05', '2014-06-11', '2014-06-12', '2014-06-24', '2014-07-09', '2014-07-14', '2014-07-22', '2014-07-23', '2014-07-24', '2014-07-29', '2014-07-30', '2014-08-04', '2014-08-06', '2014-08-07', '2014-08-08', '2014-08-14', '2014-08-18', '2014-08-20', '2014-08-25', '2014-09-04', '2014-09-11', '2014-09-16', '2014-09-18', '2014-10-01', '2014-10-02', '2014-10-14', '2014-10-23', '2014-11-11', '2014-11-13', '2014-12-04', '2014-12-05', '2014-12-11', '2014-12-25', '2014-12-26', '2014-12-30', '2015-01-15', '2015-01-26', '2015-02-09', '2015-03-13', '2015-03-20', '2015-03-25', '2015-03-30', '2015-03-31', '2015-04-07', '2015-04-08', '2015-04-14', '2015-04-20', '2015-05-04', '2015-05-06', '2015-05-18', '2015-05-20', '2015-06-02', '2015-06-12', '2015-06-15', '2015-06-18', '2015-06-22', '2015-07-15', '2015-08-07', '2015-09-18', '2015-11-12', '2015-11-24', '2015-12-03', '2015-12-21', '2015-12-22', '2015-12-29', '2016-01-04', '2016-01-22', '2016-01-27', '2016-02-18', '2016-02-23', '2016-02-24', '2016-03-08', '2016-03-09', '2016-03-10', '2016-03-18', '2016-03-23', '2016-03-24', '2016-03-30', '2016-04-08', '2016-04-12', '2016-04-14', '2016-04-15', '2016-04-18', '2016-04-27', '2016-05-10', '2016-05-16', '2016-05-24', '2016-05-27', '2016-05-31', '2016-06-06', '2016-06-14', '2016-06-16', '2016-06-17', '2016-06-20', '2016-06-21', '2016-06-22', '2016-06-23', '2016-06-24', '2016-06-27', '2016-06-28', '2016-06-29', '2016-06-30', '2016-07-01', '2016-07-04', '2016-07-05', '2016-07-06', '2016-07-07', '2016-07-08', '2016-07-11', '2016-07-12', '2016-07-13', '2016-07-14', '2016-07-15', '2016-07-19', '2016-08-03', '2016-08-11', '2016-08-17', '2016-08-31', '2016-09-02', '2016-09-08', '2016-09-09', '2016-09-13', '2016-09-14', '2016-09-22', '2016-09-23', '2016-09-26', '2016-09-30', '2016-10-03', '2016-10-04', '2016-10-06', '2016-10-14', '2016-10-18', '2016-10-20', '2016-10-31', '2016-11-01', '2016-11-02', '2016-11-04', '2016-11-14', '2016-11-16', '2016-11-17', '2016-11-21', '2016-11-22', '2016-11-23', '2016-11-24', '2016-11-25', '2016-11-29', '2016-12-01', '2016-12-02', '2016-12-05', '2016-12-07', '2016-12-15', '2016-12-16', '2016-12-20', '2016-12-21', '2016-12-22', '2016-12-26', '2016-12-29', '2017-01-13', '2017-01-17', '2017-01-18', '2017-01-19', '2017-03-28', '2017-04-10', '2017-04-12', '2017-04-14', '2017-04-28', '2017-05-02', '2017-05-09', '2017-05-12', '2017-05-19', '2017-05-22', '2017-05-31', '2017-06-09', '2017-06-12', '2017-06-13', '2017-06-15', '2017-06-22', '2017-07-10', '2017-07-11', '2017-07-25', '2017-08-01', '2017-08-21', '2017-08-31', '2017-09-04', '2017-10-03', '2017-10-18', '2017-10-25', '2017-11-02', '2017-11-14', '2017-12-11', '2017-12-13', '2017-12-20', '2017-12-25', '2017-12-28', '2018-03-02', '2018-03-08', '2018-03-09', '2018-03-15', '2018-03-22', '2018-04-12', '2018-07-09', '2018-08-20', '2018-10-31', '2018-11-09', '2018-11-13', '2018-11-19', '2018-11-26', '2018-11-30', '2018-12-04', '2018-12-07', '2018-12-11', '2018-12-19']",False,0,9.9807,33,yfinance auto_adjust=True; actions=False; repair=False,226,"['2014-02-18', '2014-02-19', '2014-03-03', '2014-03-14', '2014-03-18', '2014-04-29', '2014-05-05', '2014-05-13', '2014-06-03', '2014-06-05', '2014-06-11', '2014-06-12', '2014-06-24', '2014-07-09', '2014-07-14', '2014-07-22', '2014-07-24', '2014-07-29', '2014-07-30', '2014-08-04', '2014-08-06', '2014-08-07', '2014-08-08', '2014-08-14', '2014-08-18', '2014-08-20', '2014-08-25', '2014-09-04', '2014-09-11', '2014-09-16', '2014-09-18', '2014-10-01', '2014-10-02', '2014-10-14', '2014-10-23', '2014-11-11', '2014-11-13', '2014-12-04', '2014-12-05', '2014-12-11', '2014-12-25', '2014-12-26', '2014-12-30', '2015-01-15', '2015-01-26', '2015-02-09', '2015-03-13', '2015-03-20', '2015-03-25', '2015-03-30', '2015-03-31', '2015-04-07', '2015-04-08', '2015-04-14', '2015-04-20', '2015-05-04', '2015-05-06', '2015-05-18', '2015-05-20', '2015-06-02', '2015-06-12', '2015-06-15', '2015-06-18', '2015-06-22', '2015-07-15', '2015-08-07', '2015-09-18', '2015-11-12', '2015-11-24', '2015-12-03', '2015-12-21', '2015-12-22', '2015-12-29', '2016-01-04', '2016-01-22', '2016-01-27', '2016-01-30', '2016-02-18', '2016-02-23', '2016-02-24', '2016-03-08', '2016-03-09', '2016-03-10', '2016-03-18', '2016-03-23', '2016-03-24', '2016-03-30', '2016-04-08', '2016-04-12', '2016-04-14', '2016-04-15', '2016-04-18', '2016-04-27', '2016-05-10', '2016-05-16', '2016-05-24', '2016-05-27', '2016-05-31', '2016-06-04', '2016-06-06', '2016-06-14', '2016-06-16', '2016-06-17', '2016-06-20', '2016-06-21', '2016-06-22', '2016-06-23', '2016-06-24', '2016-06-27', '2016-06-28', '2016-06-29', '2016-06-30', '2016-07-01', '2016-07-04', '2016-07-05', '2016-07-06', '2016-07-07', '2016-07-11', '2016-07-12', '2016-07-13', '2016-07-14', '2016-07-15', '2016-07-19', '2016-08-03', '2016-08-11', '2016-08-17', '2016-08-31', '2016-09-02', '2016-09-08', '2016-09-09', '2016-09-10', '2016-09-13', '2016-09-14', '2016-09-22', '2016-09-23', '2016-09-26', '2016-09-30', '2016-10-03', '2016-10-04', '2016-10-06', '2016-10-14', '2016-10-18', '2016-10-20', '2016-10-31', '2016-11-01', '2016-11-02', '2016-11-04', '2016-11-14', '2016-11-16', '2016-11-17', '2016-11-21', '2016-11-22', '2016-11-23', '2016-11-24', '2016-11-25', '2016-11-29', '2016-12-01', '2016-12-02', '2016-12-05', '2016-12-07', '2016-12-15', '2016-12-16', '2016-12-20', '2016-12-21', '2016-12-22', '2016-12-26', '2016-12-29', '2017-01-13', '2017-01-17', '2017-01-18', '2017-01-19', '2017-02-18', '2017-03-28', '2017-04-10', '2017-04-12', '2017-04-14', '2017-04-28', '2017-05-02', '2017-05-09', '2017-05-12', '2017-05-19', '2017-05-22', '2017-05-31', '2017-06-03', '2017-06-09', '2017-06-12', '2017-06-13', '2017-06-15', '2017-06-22', '2017-07-10', '2017-07-11', '2017-07-25', '2017-08-01', '2017-08-21', '2017-08-31', '2017-09-04', '2017-10-03', '2017-10-18', '2017-10-25', '2017-11-02', '2017-11-14', '2017-12-11', '2017-12-13', '2017-12-20', '2017-12-25', '2017-12-28', '2018-03-02', '2018-03-08', '2018-03-09', '2018-03-15', '2018-03-22', '2018-04-12', '2018-07-09', '2018-08-20', '2018-10-31', '2018-11-09', '2018-11-13', '2018-11-19', '2018-11-26', '2018-11-30', '2018-12-04', '2018-12-07', '2018-12-11', '2018-12-19', '2024-01-15', '2026-07-10']"
quality_warning,2317.TW,3047,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],12,"['2014-07-23', '2016-03-30', '2016-07-08', '2018-10-18', '2018-10-19', '2018-10-22', '2018-10-23', '2018-10-24', '2018-10-25', '2021-08-17', '2025-07-30', '2025-08-01']",False,0,10.4846,13,yfinance auto_adjust=True; actions=False; repair=False,16,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-03-30', '2016-07-08', '2016-09-27', '2016-09-28', '2018-10-18', '2018-10-19', '2018-10-22', '2018-10-23', '2018-10-24', '2018-10-25', '2021-08-17', '2025-07-30', '2026-07-10']"
quality_warning,2454.TW,3054,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],5,"['2014-07-23', '2016-05-13', '2016-07-08', '2021-08-17', '2025-08-01']",False,0,10.0,13,yfinance auto_adjust=True; actions=False; repair=False,9,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-05-13', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']"
quality_warning,2308.TW,3055,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],4,"['2014-07-23', '2016-07-08', '2021-08-17', '2025-08-01']",False,0,10.0,13,yfinance auto_adjust=True; actions=False; repair=False,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']"
quality_warning,2881.TW,3055,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],4,"['2014-07-23', '2016-07-08', '2021-08-17', '2025-08-01']",False,0,9.9861,13,yfinance auto_adjust=True; actions=False; repair=False,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']"
quality_warning,2882.TW,3055,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],4,"['2014-07-23', '2016-07-08', '2021-08-17', '2025-08-01']",False,0,9.9692,13,yfinance auto_adjust=True; actions=False; repair=False,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']"
quality_warning,1301.TW,3056,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],3,"['2014-07-23', '2016-07-08', '2021-08-17']",False,0,10.0,13,yfinance auto_adjust=True; actions=False; repair=False,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']"
quality_warning,2002.TW,3055,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],4,"['2014-07-23', '2016-07-08', '2021-08-17', '2025-08-01']",False,0,10.0,13,yfinance auto_adjust=True; actions=False; repair=False,8,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2021-08-17', '2026-07-10']"
quality_warning,1101.TW,3052,2014-01-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,0,[],7,"['2014-07-23', '2016-07-08', '2017-04-19', '2017-04-20', '2021-08-17', '2025-08-01', '2025-08-13']",False,0,9.9702,13,yfinance auto_adjust=True; actions=False; repair=False,11,"['2014-07-23', '2015-07-10', '2015-09-29', '2016-07-08', '2016-09-27', '2016-09-28', '2017-04-19', '2017-04-20', '2021-08-17', '2025-08-13', '2026-07-10']"
