symbol,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days,excess_vs_buy_hold_pct,excess_vs_sma_pct,excess_vs_legacy_pct
1216.TW,tu_strategy,available,12,12,-6.4685,3.83,-0.3742,40,27.5,492702.72,168524084.55,27.9,5.76,2807,-126.5799,49.572,
1216.TW,adaptive_tu_strategy,available,12,12,-7.8218,5.16,-0.3742,40,27.5,544038.21,186121403.28,27.9,6.39,2807,-127.9332,48.2187,-1.3533
1216.TW,buy_and_hold,available,12,12,120.1114,19.8626,0.484,12,75.0,740776.15,248450031.13,100.0,99.76,2807,,,
1216.TW,sma_8_21,available,12,12,-56.0405,24.4917,-0.4602,85,34.12,4764869.73,1630438329.84,55.93,55.77,2807,,,
2412.TW,tu_strategy,available,12,12,-2.0719,2.09,-0.2092,45,33.33,515150.92,175951963.11,37.93,7.5,2808,-121.3363,-8.773,
2412.TW,adaptive_tu_strategy,available,12,12,-2.9243,2.09,-0.2058,45,33.33,620954.27,212112134.19,37.93,8.72,2808,-122.1887,-9.6254,-0.8524
2412.TW,buy_and_hold,available,12,12,119.2644,16.285,0.7617,12,100.0,736486.89,247223984.46,100.0,99.49,2808,,,
2412.TW,sma_8_21,available,12,12,6.7011,12.2131,0.1146,80,33.75,4725000.76,1612555535.86,61.79,61.49,2808,,,
2912.TW,tu_strategy,available,12,12,-3.8337,2.86,-0.4717,30,36.67,382910.7,130906387.98,22.37,4.37,2807,-28.8808,58.5112,
2912.TW,adaptive_tu_strategy,available,12,12,-4.4455,5.24,-0.4717,30,36.67,445678.46,152363704.06,22.37,5.32,2807,-29.4926,57.8994,-0.6118
2912.TW,buy_and_hold,available,12,12,25.0471,20.0917,0.1932,12,75.0,711283.74,241233731.62,100.0,99.09,2807,,,
2912.TW,sma_8_21,available,12,12,-62.3449,19.7124,-0.6456,92,19.57,5139200.82,1759065860.82,48.91,48.41,2807,,,
