symbol,regime,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days
2454.TW,sideways,tu_strategy,available,2,2,-4.4925,5.44,-0.665,3,33.33,49965.46,17287647.4,10.41,2.37,490
2454.TW,sideways,adaptive_tu_strategy,available,2,2,-5.986,8.09,-0.625,3,33.33,69013.86,23867243.48,10.41,3.35,490
2454.TW,sideways,buy_and_hold,available,2,2,-59.3351,51.5813,-0.9604,2,0.0,84615.48,32549446.75,100.0,99.01,490
2454.TW,sideways,sma_8_21,available,2,2,-48.2853,37.554,-1.5619,13,23.08,683145.76,236081351.69,38.98,38.59,490
2308.TW,bull,tu_strategy,available,9,9,158.9532,15.02,1.1222,24,45.83,574516.33,190421619.25,30.89,11.6,2072
2308.TW,bull,adaptive_tu_strategy,available,9,9,149.7945,15.02,1.1044,24,45.83,660126.24,219833671.55,30.89,12.52,2072
2308.TW,bull,buy_and_hold,available,9,9,1160.8525,38.7576,0.9745,9,88.89,672770.24,211940539.84,100.0,98.98,2072
2308.TW,bull,sma_8_21,available,9,9,547.2454,24.5278,0.8469,54,33.33,3451188.33,1165198903.66,56.32,55.53,2072
2308.TW,bear,tu_strategy,available,1,1,-1.4,1.99,-0.67,4,25.0,61779.39,21161501.67,23.58,4.97,246
2308.TW,bear,adaptive_tu_strategy,available,1,1,-2.78,3.79,-0.76,4,25.0,95711.83,32815401.67,23.58,8.5,246
2308.TW,bear,buy_and_hold,available,1,1,-4.4372,25.7385,0.1313,1,0.0,56271.96,19436965.01,100.0,99.15,246
2308.TW,bear,sma_8_21,available,1,1,-20.0317,22.9353,-1.0005,8,25.0,385332.21,132567169.77,49.59,49.04,246
2308.TW,sideways,tu_strategy,available,2,2,-3.4911,2.43,-1.405,3,0.0,32616.25,11314412.17,7.14,1.38,490
2308.TW,sideways,adaptive_tu_strategy,available,2,2,-5.1789,4.31,-1.405,3,0.0,49311.19,17101399.83,7.14,2.05,490
