symbol,selection_applied_to_validation,average_return_range_pct_points,positive_candidate_fraction,candidate_id,strategy_params,status,training_window_count,average_return_pct,median_return_pct,positive_window_fraction,worst_drawdown_pct,total_trades
1216.TW,False,0.6128,0.0,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,11,-1.5173,-1.3,0.2727,5.81,76
1216.TW,False,0.6128,0.0,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,11,-0.9045,-0.9,0.1818,3.8,76
2412.TW,False,0.0654,0.8,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,0.0073,-0.03,0.4545,2.54,78
2412.TW,False,0.0654,0.8,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,0.0136,-0.04,0.4545,1.85,78
2412.TW,False,0.0654,0.8,entry_25pct,"{'stage1_ratio': 0.25, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,0.0027,-0.04,0.3636,3.19,78
2412.TW,False,0.0654,0.8,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,11,-0.0518,-0.03,0.4545,2.54,78
2412.TW,False,0.0654,0.8,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,11,0.0073,-0.03,0.4545,2.54,78
2912.TW,False,1.5764,0.0,default,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,-0.9636,-1.23,0.3636,4.11,62
2912.TW,False,1.5764,0.0,entry_15pct,"{'stage1_ratio': 0.15, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,-0.6718,-0.63,0.3636,3.33,62
2912.TW,False,1.5764,0.0,entry_25pct,"{'stage1_ratio': 0.25, 'pullback_min_pct': 0.07, 'pullback_max_pct': 0.11}",available,11,-1.2464,-1.86,0.3636,4.88,62
2912.TW,False,1.5764,0.0,pullback_5_9pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.05, 'pullback_max_pct': 0.09}",available,11,-2.2482,-1.71,0.1818,11.99,62
2912.TW,False,1.5764,0.0,pullback_9_13pct,"{'stage1_ratio': 0.2, 'pullback_min_pct': 0.09, 'pullback_max_pct': 0.13}",available,11,-1.1482,-1.06,0.2727,3.79,62
