symbol,regime,model,status,window_count,requested_window_count,compounded_return_pct,worst_window_drawdown_pct,average_window_sharpe,total_trades,win_rate_pct,commission_and_tax_paid,turnover_twd,exposure_pct,average_capital_utilization_pct,observation_days
2454.TW,bear,tu_strategy,available,1,1,-2.16,2.29,-1.7,2,0.0,18711.62,6498254.9,5.28,0.86,246
2454.TW,bear,adaptive_tu_strategy,available,1,1,-2.16,2.29,-1.7,2,0.0,18711.62,6498254.9,5.28,0.86,246
2454.TW,bear,buy_and_hold,available,1,1,-38.5126,46.549,-1.2361,1,0.0,38401.84,15084146.24,100.0,92.27,246
2454.TW,bear,sma_8_21,available,1,1,-0.3944,19.2043,0.0859,6,33.33,306212.71,104551302.06,42.28,41.12,246
2454.TW,sideways,tu_strategy,available,2,2,-4.4925,5.44,-0.66,3,33.33,49965.46,17287646.58,10.37,2.36,492
2454.TW,sideways,adaptive_tu_strategy,available,2,2,-5.986,8.09,-0.62,3,33.33,69013.86,23867242.33,10.37,3.33,492
2454.TW,sideways,buy_and_hold,available,2,2,-59.3351,51.5813,-0.9578,2,0.0,84615.47,32549445.24,100.0,99.01,492
2454.TW,sideways,sma_8_21,available,2,2,-50.39,40.0956,-1.6788,13,23.08,677476.71,234291899.45,39.03,38.66,492
2308.TW,bull,tu_strategy,available,9,9,158.9532,15.02,1.1211,24,45.83,574516.34,190421618.94,30.86,11.58,2077
2308.TW,bull,adaptive_tu_strategy,available,9,9,149.7945,15.02,1.1033,24,45.83,660126.26,219833672.03,30.86,12.5,2077
2308.TW,bull,buy_and_hold,available,9,9,1160.8525,38.7576,0.9734,9,88.89,672770.25,211940544.22,100.0,98.98,2077
2308.TW,bull,sma_8_21,available,9,9,547.2447,24.5278,0.846,54,33.33,3451188.33,1165198900.51,56.19,55.39,2077
2308.TW,bear,tu_strategy,available,1,1,-0.53,1.71,-0.29,3,33.33,32527.47,11131183.14,19.51,3.81,246
2308.TW,bear,adaptive_tu_strategy,available,1,1,-0.96,3.06,-0.28,3,33.33,59184.03,20252762.97,19.51,6.88,246
2308.TW,bear,buy_and_hold,available,1,1,-4.4371,25.7385,0.1313,1,0.0,56271.96,19436966.11,100.0,99.15,246
2308.TW,bear,sma_8_21,available,1,1,-20.0317,22.9353,-1.0005,8,25.0,385332.21,132567168.79,49.59,49.04,246
2308.TW,sideways,tu_strategy,available,2,2,-4.2245,2.43,-1.61,4,0.0,43367.9,15023100.48,7.32,1.41,492
2308.TW,sideways,adaptive_tu_strategy,available,2,2,-5.8994,4.31,-1.61,4,0.0,60062.84,20810088.45,7.32,2.09,492
2308.TW,sideways,buy_and_hold,available,2,2,-19.4217,30.7702,-0.2209,2,0.0,107910.21,37854233.99,100.0,99.42,492
2308.TW,sideways,sma_8_21,available,2,2,-52.2794,34.1899,-1.7449,17,11.76,826993.83,285475441.05,43.7,43.41,492
2881.TW,bull,tu_strategy,available,9,9,8.4104,5.25,-0.2133,37,35.14,520211.28,177118306.4,34.76,7.55,2077
2881.TW,bull,adaptive_tu_strategy,available,9,9,9.472,6.11,-0.1822,37,35.14,638702.87,217488117.89,34.76,9.04,2077
2881.TW,bull,buy_and_hold,available,9,9,629.0625,26.0517,1.1831,9,100.0,634553.92,204139084.86,100.0,99.73,2077
2881.TW,bull,sma_8_21,available,9,9,123.0597,18.1738,0.4402,62,45.16,3825148.14,1300643171.85,63.07,62.94,2077
2881.TW,bear,tu_strategy,available,1,1,-3.63,3.99,-2.47,2,0.0,39712.98,13742873.56,8.54,2.29,246
2881.TW,bear,adaptive_tu_strategy,available,1,1,-5.88,6.49,-2.61,2,0.0,56641.2,19636819.13,8.54,3.59,246
2881.TW,bear,buy_and_hold,available,1,1,-15.7411,34.0735,-0.6052,1,0.0,51539.55,18401165.95,100.0,99.72,246
2881.TW,bear,sma_8_21,available,1,1,6.7787,12.6281,0.5307,6,66.67,352001.46,119814239.77,41.46,41.37,246
2881.TW,sideways,tu_strategy,available,2,2,-3.9137,4.37,-0.955,10,10.0,132394.85,45396755.57,24.6,5.31,492
2881.TW,sideways,adaptive_tu_strategy,available,2,2,-6.4318,7.52,-0.95,10,10.0,173492.04,59555810.99,24.6,6.86,492
2881.TW,sideways,buy_and_hold,available,2,2,-17.9988,33.263,-0.3882,2,0.0,108855.48,38128494.15,100.0,99.92,492
2881.TW,sideways,sma_8_21,available,2,2,-6.4808,18.8953,-0.3602,14,28.57,828153.2,282966180.28,49.59,49.54,492
2882.TW,bull,tu_strategy,available,9,9,9.3215,5.94,0.0822,36,38.89,508037.31,172941283.7,33.03,7.34,2077
2882.TW,bull,adaptive_tu_strategy,available,9,9,9.9297,8.32,0.1033,36,38.89,635814.94,216521646.12,33.03,9.29,2077
2882.TW,bull,buy_and_hold,available,9,9,521.1136,28.3806,1.0495,9,88.89,623192.88,201664519.14,100.0,99.86,2077
2882.TW,bull,sma_8_21,available,9,9,99.7906,19.8528,0.3441,63,47.62,3822965.61,1300566956.58,60.47,60.35,2077
2882.TW,bear,tu_strategy,available,1,1,1.22,1.46,0.48,1,100.0,29729.75,10086208.43,8.54,2.6,246
2882.TW,bear,adaptive_tu_strategy,available,1,1,1.75,2.57,0.49,1,100.0,38625.03,13095476.42,8.54,3.91,246
2882.TW,bear,buy_and_hold,available,1,1,-29.6698,41.8908,-1.3742,1,0.0,45441.58,17033808.41,100.0,99.9,246
2882.TW,bear,sma_8_21,available,1,1,-0.8566,14.0034,0.0,6,33.33,350281.2,119618556.71,41.46,41.39,246
2882.TW,sideways,tu_strategy,available,2,2,-2.1067,2.63,-0.91,6,16.67,68726.85,23568973.74,19.72,4.0,492
2882.TW,sideways,adaptive_tu_strategy,available,2,2,-3.8716,4.57,-0.91,6,16.67,101967.66,35006495.95,19.72,5.33,492
2882.TW,sideways,buy_and_hold,available,2,2,-22.4811,23.6547,-0.5376,2,0.0,106592.63,37602020.32,100.0,99.8,492
2882.TW,sideways,sma_8_21,available,2,2,-31.5777,25.0319,-1.4752,18,11.11,991587.16,340246280.24,50.81,50.72,492
1301.TW,bull,tu_strategy,available,9,9,-9.8603,17.49,-0.05,25,36.0,464991.08,159214845.24,24.94,6.39,2077
1301.TW,bull,adaptive_tu_strategy,available,9,9,-11.431,17.49,-0.025,25,36.0,549452.63,188133043.66,24.94,7.68,2077
1301.TW,bull,buy_and_hold,available,9,9,19.0519,55.0533,0.2209,9,66.67,551390.46,185348199.09,100.0,99.68,2077
1301.TW,bull,sma_8_21,available,9,9,-50.6906,46.0435,-0.421,65,30.77,3513901.38,1202080984.24,55.13,54.95,2077
1301.TW,bear,tu_strategy,available,1,1,-2.79,2.79,-2.33,3,0.0,32748.98,11322747.82,4.88,0.94,246
1301.TW,bear,adaptive_tu_strategy,available,1,1,-4.94,4.94,-2.33,3,0.0,58222.23,20128688.47,4.88,1.68,246
1301.TW,bear,buy_and_hold,available,1,1,-10.9159,21.8566,-0.5765,1,0.0,53438.58,18801982.93,100.0,99.31,246
1301.TW,bear,sma_8_21,available,1,1,-14.115,21.1806,-1.1189,6,16.67,319991.38,109958508.73,47.97,47.71,246
1301.TW,sideways,tu_strategy,available,2,2,-4.1486,3.68,-0.93,10,10.0,112992.12,38786686.1,30.89,6.12,492
1301.TW,sideways,adaptive_tu_strategy,available,2,2,-6.0674,6.45,-0.925,10,10.0,172452.28,59184825.18,30.89,9.28,492
1301.TW,sideways,buy_and_hold,available,2,2,3.8635,21.3585,0.2173,2,100.0,118624.76,40297993.44,100.0,99.67,492
1301.TW,sideways,sma_8_21,available,2,2,-14.5757,20.8349,-0.3025,15,26.67,884367.81,302629391.9,55.49,55.34,492
2002.TW,bull,tu_strategy,available,9,9,-15.049,24.83,-0.5289,24,25.0,340494.68,117021903.89,18.78,4.22,2077
2002.TW,bull,adaptive_tu_strategy,available,9,9,-12.5239,23.55,-0.5022,24,29.17,380069.49,130395971.49,18.78,4.65,2077
2002.TW,bull,buy_and_hold,available,9,9,43.637,29.6634,0.1948,9,66.67,551989.53,185630442.53,100.0,99.93,2077
2002.TW,bull,sma_8_21,available,9,9,-34.0659,37.1498,-0.4145,72,26.39,4112949.26,1405826080.4,50.84,50.79,2077
2002.TW,bear,tu_strategy,available,1,1,0.75,1.1,0.41,2,50.0,23902.12,8118019.45,15.85,3.26,246
2002.TW,bear,adaptive_tu_strategy,available,1,1,0.75,1.1,0.41,2,50.0,23902.12,8118019.45,15.85,3.26,246
2002.TW,bear,buy_and_hold,available,1,1,-4.4176,28.8579,-0.1239,1,0.0,56672.63,19572737.66,100.0,99.93,246
2002.TW,bear,sma_8_21,available,1,1,1.0604,16.2316,0.0913,7,57.14,425528.44,145207209.95,56.91,56.86,246
2002.TW,sideways,tu_strategy,available,2,2,-1.5943,1.89,-0.75,5,20.0,57753.74,19797556.03,15.25,3.08,492
2002.TW,sideways,adaptive_tu_strategy,available,2,2,-1.5943,1.89,-0.75,5,20.0,57753.74,19797556.03,15.25,3.08,492
2002.TW,sideways,buy_and_hold,available,2,2,-30.8049,34.4908,-0.863,2,50.0,103588.04,36935304.78,100.0,99.88,492
2002.TW,sideways,sma_8_21,available,2,2,-29.4295,21.2042,-1.7494,16,6.25,881247.42,302458258.29,38.41,38.37,492
1101.TW,bull,tu_strategy,available,9,9,-7.2252,6.43,-0.3911,32,28.12,402494.87,137768122.56,27.97,5.93,2077
1101.TW,bull,adaptive_tu_strategy,available,9,9,-7.3277,6.43,-0.3889,32,28.12,509840.06,174409949.33,27.97,7.79,2077
1101.TW,bull,buy_and_hold,available,9,9,112.6841,39.7622,0.6111,9,77.78,569520.59,189567456.23,100.0,99.89,2077
1101.TW,bull,sma_8_21,available,9,9,16.9658,23.2328,0.1315,59,42.37,3563890.63,1215488311.43,55.27,55.21,2077
1101.TW,bear,tu_strategy,available,1,1,-0.53,0.93,-0.73,1,0.0,11369.67,3908652.01,6.1,1.21,246
1101.TW,bear,adaptive_tu_strategy,available,1,1,-0.53,0.93,-0.73,1,0.0,11369.67,3908652.01,6.1,1.21,246
1101.TW,bear,buy_and_hold,available,1,1,-20.2159,32.6215,-1.0758,1,0.0,49525.3,17943043.97,100.0,99.68,246
1101.TW,bear,sma_8_21,available,1,1,-3.6383,10.0828,-0.1936,7,42.86,398171.22,136109302.82,50.41,50.29,246
1101.TW,sideways,tu_strategy,available,2,2,1.1,3.62,0.26,3,66.67,51824.1,17634898.45,17.48,4.9,492
1101.TW,sideways,adaptive_tu_strategy,available,2,2,1.1,3.62,0.26,3,66.67,51824.1,17634898.45,17.48,4.9,492
1101.TW,sideways,buy_and_hold,available,2,2,-31.5812,38.3609,-0.64,2,50.0,104279.81,37086216.64,100.0,99.85,492
1101.TW,sideways,sma_8_21,available,2,2,-26.3325,21.4379,-0.9026,14,14.29,779188.55,267419303.24,48.58,48.53,492
2105.TW,bull,tu_strategy,available,9,9,-8.2009,9.3,-0.55,23,34.78,379964.96,130129421.69,22.44,4.89,2077
2105.TW,bull,adaptive_tu_strategy,available,9,9,-6.3377,9.3,-0.5144,23,34.78,387998.1,132766946.29,22.44,5.13,2077
2105.TW,bull,buy_and_hold,available,9,9,1.2973,41.0668,0.1674,9,66.67,537029.69,182190119.64,100.0,99.83,2077
2105.TW,bull,sma_8_21,available,9,9,-36.4399,33.4954,-0.335,59,22.03,3412241.1,1166857064.14,49.93,49.83,2077
2105.TW,bear,tu_strategy,available,1,1,-4.23,4.29,-1.94,3,0.0,50682.68,17518170.63,15.04,3.47,246
2105.TW,bear,adaptive_tu_strategy,available,1,1,-6.27,6.37,-1.86,3,0.0,76029.23,26275377.61,15.04,5.75,246
2105.TW,bear,buy_and_hold,available,1,1,-1.6314,19.1449,0.0292,1,0.0,57786.79,19810191.88,100.0,99.72,246
2105.TW,bear,sma_8_21,available,1,1,-16.6857,17.7492,-1.145,9,11.11,485072.35,166443621.5,52.03,51.97,246
2105.TW,sideways,tu_strategy,available,2,2,-0.8185,1.01,-0.535,2,0.0,23119.55,7934247.47,6.91,1.4,492
2105.TW,sideways,adaptive_tu_strategy,available,2,2,-0.8185,1.01,-0.535,2,0.0,23119.55,7934247.47,6.91,1.4,492
2105.TW,sideways,buy_and_hold,available,2,2,-40.2373,32.2969,-1.0833,2,0.0,97139.53,35472096.13,100.0,99.84,492
2105.TW,sideways,sma_8_21,available,2,2,-34.4615,26.6754,-1.3562,15,13.33,809669.81,278321000.62,38.82,38.75,492
1216.TW,bull,tu_strategy,available,9,9,-3.6429,3.83,-0.3344,27,29.63,326953.06,111794669.57,26.24,5.33,2077
1216.TW,bull,adaptive_tu_strategy,available,9,9,-3.6429,3.83,-0.3344,27,29.63,326953.06,111794669.57,26.24,5.33,2077
1216.TW,bull,buy_and_hold,available,9,9,78.2388,19.8626,0.5058,9,66.67,555252.77,186260913.91,100.0,99.75,2077
1216.TW,bull,sma_8_21,available,9,9,-39.0011,24.4916,-0.3844,60,36.67,3378978.06,1155748408.56,55.42,55.25,2077
1216.TW,bear,tu_strategy,available,1,1,-1.84,1.84,-1.63,4,0.0,45395.94,15588260.11,13.82,2.74,246
1216.TW,bear,adaptive_tu_strategy,available,1,1,-1.84,1.84,-1.63,4,0.0,45395.94,15588260.11,13.82,2.74,246
1216.TW,bear,buy_and_hold,available,1,1,0.7108,9.7018,0.0641,1,100.0,58744.4,20016981.27,100.0,99.57,246
1216.TW,bear,sma_8_21,available,1,1,-11.0077,14.8574,-1.1348,11,36.36,602725.82,206315517.65,53.25,53.09,246
1216.TW,sideways,tu_strategy,available,2,2,-2.4194,3.5,-0.36,10,20.0,131347.04,44961927.31,43.09,9.29,492
1216.TW,sideways,adaptive_tu_strategy,available,2,2,-2.4194,3.5,-0.36,10,20.0,131347.04,44961927.31,43.09,9.29,492
1216.TW,sideways,buy_and_hold,available,2,2,22.6207,15.537,0.5915,2,100.0,126778.96,42172130.69,100.0,99.88,492
1216.TW,sideways,sma_8_21,available,2,2,-19.2429,18.9944,-0.4716,14,21.43,783959.99,268652964.85,59.55,59.41,492
2412.TW,bull,tu_strategy,available,9,9,-1.1939,1.87,-0.2067,33,33.33,378214.33,129160338.81,37.12,7.34,2077
2412.TW,bull,adaptive_tu_strategy,available,9,9,-1.6882,1.99,-0.2044,33,33.33,440539.75,150459558.54,37.12,8.27,2077
2412.TW,bull,buy_and_hold,available,9,9,90.6437,14.7081,0.837,9,100.0,554831.61,185956373.13,100.0,99.46,2077
2412.TW,bull,sma_8_21,available,9,9,19.285,9.0412,0.2799,55,34.55,3273124.7,1116378584.82,61.19,60.89,2077
2412.TW,bear,tu_strategy,available,1,1,-0.48,2.09,-0.34,3,33.33,34480.2,11795124.07,30.08,5.97,246
2412.TW,bear,adaptive_tu_strategy,available,1,1,-0.48,2.09,-0.34,3,33.33,34480.2,11795124.07,30.08,5.97,246
2412.TW,bear,buy_and_hold,available,1,1,1.4945,16.285,0.1649,1,100.0,58842.14,20010151.89,100.0,99.2,246
2412.TW,bear,sma_8_21,available,1,1,-2.6942,12.2131,-0.2368,9,22.22,523924.35,178988919.92,59.35,58.91,246
2412.TW,sideways,tu_strategy,available,2,2,-0.4703,1.41,-0.175,9,33.33,102465.35,35002776.95,45.53,8.99,492
2412.TW,sideways,adaptive_tu_strategy,available,2,2,-0.8404,1.79,-0.165,9,33.33,145943.28,49863728.45,45.53,12.06,492
2412.TW,sideways,buy_and_hold,available,2,2,13.3191,5.6755,0.7137,2,100.0,122813.13,41257460.82,100.0,99.74,492
2412.TW,sideways,sma_8_21,available,2,2,-9.0589,10.9314,-0.5362,16,31.25,927288.73,317016152.49,65.86,65.67,492
2912.TW,bull,tu_strategy,available,9,9,-3.6965,2.86,-0.6033,23,34.78,288032.57,98513907.64,22.53,4.42,2077
2912.TW,bull,adaptive_tu_strategy,available,9,9,-4.3436,2.86,-0.6022,23,34.78,314316.92,107521389.18,22.53,4.75,2077
2912.TW,bull,buy_and_hold,available,9,9,30.2254,15.6441,0.225,9,77.78,537504.45,181819447.26,100.0,99.07,2077
2912.TW,bull,sma_8_21,available,9,9,-44.5971,17.8339,-0.633,66,21.21,3714811.6,1270979893.31,48.63,48.13,2077
2912.TW,bear,tu_strategy,available,1,1,0.03,1.29,0.03,2,50.0,22391.99,7642232.29,8.54,1.64,246
2912.TW,bear,adaptive_tu_strategy,available,1,1,0.03,1.29,0.03,2,50.0,22391.99,7642232.29,8.54,1.64,246
2912.TW,bear,buy_and_hold,available,1,1,1.4992,9.1112,0.1269,1,100.0,58666.7,19950021.25,100.0,98.85,246
2912.TW,bear,sma_8_21,available,1,1,-12.0041,14.6475,-0.93,11,9.09,595539.32,203913374.38,46.34,45.73,246
2912.TW,sideways,tu_strategy,available,2,2,-2.8221,3.7,-0.675,6,33.33,100647.32,34501703.35,30.69,6.02,492
2912.TW,sideways,adaptive_tu_strategy,available,2,2,-2.6188,5.24,-0.675,6,33.33,137201.15,46969020.76,30.69,10.01,492
2912.TW,sideways,buy_and_hold,available,2,2,-5.3947,20.0917,0.0792,2,50.0,115112.58,39464259.05,100.0,99.28,492
2912.TW,sideways,sma_8_21,available,2,2,-23.4,22.1622,-0.5808,16,25.0,875655.15,300170183.88,51.22,50.64,492
