provider,official_exchange_source,provider_data_mutability,symbol,requested_start,requested_end_inclusive,actual_start,actual_end,row_count,fetched_at_local,library,library_version,interval,auto_adjust,actions,repair,end_parameter_semantics,currency_expected,exchange_timezone_expected,provider_payload_sha256,normalized_snapshot_sha256
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,^TWII,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3059,2026-08-01T15:21:58+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,c28545daced5343203f53d6b76ddb319e770ae1e4e715f5083b4a114caa93dc2,ecc5579ded0aed7bfff65c05b0816e2ccff993705faed35ab7e75b524df8587a
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,0050.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3064,2026-08-01T15:21:58+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,e31c5345e05d9ca50b268cf010b57d53c652689396589654b5cc10f9a2ae252a,8fa206da536e1c3783f3528dec20b6a6e44632863cf4d05489465b82a672c088
Yahoo Finance via yfinance,False,historical adjusted values may be revised by provider; use the normalized snapshot hash for run identity,2330.TW,2014-01-01,2026-07-31,2014-01-02,2026-07-31,3063,2026-08-01T15:21:59+08:00,yfinance,1.5.2,1d,True,False,False,exclusive,TWD,Asia/Taipei,d2658ccac4c2002d90a941590651798144ea3e1c1ccfbd66281602fe5b701399,e7a93f5bfe578ce6e62e83ed8441defd8000c1281d11ee555a8f5922b97093a4
