status,symbol,row_count,start_date,end_date,duplicate_dates,missing_by_column,invalid_price_rows,non_monotonic_dates,large_return_rows_25pct,max_abs_daily_return_pct,max_calendar_gap_days,price_adjustment_contract
available,^TWII,1214,2021-08-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,False,0,9.6997,13,legacy_cache_unknown; new yfinance fetches explicitly use auto_adjust=True
available,0050.TW,486,2024-07-31,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,False,0,10.0,12,legacy_cache_unknown; new yfinance fetches explicitly use auto_adjust=True
available,2330.TW,1213,2021-08-02,2026-07-31,0,"{'date': 0, 'open': 0, 'high': 0, 'low': 0, 'close': 0, 'volume': 0}",0,False,0,10.2273,13,legacy_cache_unknown; new yfinance fetches explicitly use auto_adjust=True
