symbol,date,open,high,low,close,volume
^TWII,2014-01-02,8618.559542142006,8632.769437018447,8587.500116223153,8612.5,2537600
^TWII,2014-01-03,8584.70001635119,8584.70001635119,8537.820353162835,8546.5,2539700
^TWII,2014-01-06,8552.959711328456,8568.199873914751,8488.599662933624,8499.9697265625,2640100
^TWII,2014-01-07,8515.320298104192,8547.15022651096,8512.259765625,8512.259765625,2598900
^TWII,2014-01-08,8548.57034712661,8587.039893664562,8548.57034712661,8555.9697265625,3206300
^TWII,2014-01-09,8555.759572263534,8569.070056547593,8505.979532910646,8514.6396484375,3819600
^TWII,2014-01-10,8559.139508407085,8559.139508407085,8521.45999778568,8529.3095703125,2730100
^TWII,2014-01-13,8587.45009580126,8607.190237908924,8558.9199557164,8566.16015625,2662700
^TWII,2014-01-14,8545.419934426523,8568.269436775085,8523.420037473434,8548.099609375,2289900
^TWII,2014-01-15,8567.76969294234,8619.519452081024,8567.76969294234,8602.509765625,2869000
^TWII,2014-01-16,8653.499807386834,8668.90989199258,8610.200204006971,8612.0703125,2832700
^TWII,2014-01-17,8628.450043977167,8628.820159440707,8580.450267554994,8595.9599609375,2288800
^TWII,2014-01-20,8595.549925292536,8636.16985383767,8584.460133044466,8621.51953125,2277900
^TWII,2014-01-21,8639.66973653124,8650.09937547313,8599.8603515625,8599.8603515625,2478200
^TWII,2014-01-22,8598.940551863141,8633.530235045399,8596.950326726906,8625.259765625,2141700
^TWII,2014-01-23,8644.519300847729,8647.829832301013,8595.0595703125,8595.0595703125,2056700
^TWII,2014-01-24,8581.45027363376,8608.599561271749,8577.099707955287,8598.26953125,1936800
^TWII,2014-01-27,8519.440160427781,8519.440160427781,8442.150487048588,8462.5302734375,2605100
^TWII,2014-02-05,8290.129758354391,8313.789799977649,8230.420086694707,8264.4404296875,3156100
^TWII,2014-02-06,8286.120236902805,8333.51942261422,8284.729618602269,8310.9697265625,2451100
^TWII,2014-02-07,8383.950211349296,8408.990130877053,8356.889793654429,8387.3095703125,2427200
^TWII,2014-02-10,8416.37976606432,8446.979229444689,8391.91015625,8391.91015625,2048200
^TWII,2014-02-11,8413.820391809215,8439.289997408929,8401.500137821791,8430.51953125,1955500
^TWII,2014-02-12,8471.469911731767,8510.830078125,8471.469911731767,8510.830078125,2388700
^TWII,2014-02-13,8506.17950536248,8510.979287354363,8467.66015625,8467.66015625,2100200
^TWII,2014-02-14,8524.499948924753,8566.949944597838,8508.200220893754,8513.6396484375,2340800
